"Elem_name"	"ion_state"	"Wl"	"Ei"	"Ek"	"Ak"	"gi"	"gk"
"Fe"	"II"	163.54	0.9863338	8.567609	2.3e+08	8	6
"Fe"	"II"	163.633	0.10695023	7.6839121	96300000	4	4
"Fe"	"II"	163.74	0.23217279	7.8041909	3.6e+07	10	8
"Fe"	"II"	163.94	0.12113874	7.6839121	68500000	2	4
"Fe"	"II"	163.95	3.88869686	11.4510101	7e+06	4	4
"Fe"	"II"	163.961	3.8891925	11.4510101	1.8e+07	2	4
"Fe"	"II"	164.015	0.38651921	7.9458259	5.9e+07	4	6
"Fe"	"II"	164.027	3.88869686	11.4474493	1.8e+07	4	6
"Fe"	"II"	164.085	3.90341906	11.4594834	3.2e+07	8	10
"Fe"	"II"	164.09	3.89161339	11.4474493	5e+06	6	6
